id,name,did,fid,sid,works_count
T13459,Public Administration and Political Analysis,D2,F13,S108,360664
T12826,Education Methods and Technologies,D2,F13,S107,360357
T13297,History and advancements in chemistry,D1,F7,S62,357858
T11312,Soil Moisture and Remote Sensing,D1,F4,S38,356640
T13710,European and International Law Studies,D2,F13,S108,354793
T13641,Historical Studies and Socio-cultural Analysis,D2,F12,S99,349672
T12797,History of Computing Technologies,D1,F3,S27,346588
T12836,History and Developments in Astronomy,D1,F2,S18,346547
T12455,Mediterranean and Iberian flora and fauna,D3,F17,S146,341022
T12917,Astronomy and Astrophysical Research,D1,F2,S21,335574
T12527,Chemistry and Stereochemistry Studies,D1,F7,S63,335563
T13884,Educational Leadership and Practices,D2,F13,S107,334948
T12012,Diatoms and Algae Research,D1,F5,S47,334559
T13624,Social Sciences and Policies,D2,F13,S109,332755
T10995,Methane Hydrates and Related Phenomena,D1,F4,S39,330139
T13396,Agriculture and Rural Development Research,D3,F17,S148,329207
T12954,Law and Political Science,D2,F13,S110,328478
T13937,"Genetics, Bioinformatics, and Biomedical Research",D3,F18,S158,325970
T12983,Satellite Image Processing and Photogrammetry,D1,F1,S4,320963
T10325,Astro and Planetary Science,D1,F2,S18,320310
T10597,Nuclear reactor physics and engineering,D1,F1,S1,317693
T10290,Pregnancy and preeclampsia studies,D4,F22,S191,317412
T11776,Irish and British Studies,D2,F13,S105,317324
T12454,European Political History Analysis,D2,F12,S97,311620
T13602,Educational Methods and Media Use,D1,F3,S26,310856
T13532,Education Systems and Policy,D2,F13,S107,310457
T13130,Biological and pharmacological studies of plants,D4,F22,S185,309264
T13033,Social Sciences and Governance,D2,F13,S111,305271
T11405,Geophysics and Gravity Measurements,D1,F6,S57,304287
T12618,Botany and Plant Ecology Studies,D3,F17,S146,302371
T13275,Medical and Health Sciences Research,D4,F22,S192,300401
T13015,"Botany, Ecology, and Taxonomy Studies",D3,F17,S146,299779
T11198,Japanese History and Culture,D2,F13,S112,298647
T12768,Linguistics and language evolution,D2,F12,S100,297520
T12568,Plant Taxonomy and Phylogenetics,D3,F17,S148,297149
T10181,Natural Language Processing Techniques,D1,F3,S25,295855
T13372,Archaeology and Historical Studies,D2,F12,S101,295741
T13556,Historical Influence and Diplomacy,D2,F13,S108,292774
T11857,Archaeological and Historical Studies,D2,F12,S101,292772
T10385,Plant Diversity and Evolution,D3,F17,S148,292312
T12765,"Race, History, and American Society",D2,F13,S105,292294
T12021,Social and Educational Sciences,D2,F13,S107,288598
T10487,Plant and animal studies,D3,F17,S148,287417
T12170,History and Theory of Mathematics,D1,F8,S68,285322
T11468,Genetic Mapping and Diversity in Plants and Animals,D3,F18,S159,284900
T11841,Nuclear Structure and Function,D3,F18,S158,284630
T12990,Medical History and Innovations,D2,F12,S97,284486
T12613,X-ray Diffraction in Crystallography,D1,F5,S46,284265
T11530,Business and Management Studies,D2,F14,S126,284218
T10039,"Stellar, planetary, and galactic studies",D1,F2,S18,281164
T11583,Advanced Measurement and Metrology Techniques,D1,F1,S5,280708
T12510,Magneto-Optical Properties and Applications,D1,F1,S2,279160
T10037,Physics of Superconductivity and Magnetism,D1,F2,S20,278033
T12645,European history and politics,D2,F13,S108,277670
T12254,Machine Learning in Bioinformatics,D3,F18,S158,277283
T10908,Analytical Chemistry and Chromatography,D1,F7,S64,277098
T10559,Particle Accelerators and Free-Electron Lasers,D1,F1,S2,276724
T11494,Coleoptera Taxonomy and Distribution,D3,F17,S148,276666
T10391,Healthcare Policy and Management,D2,F11,S89,275258
T14335,Educational Robotics and Engineering,D1,F3,S25,274548
T10332,Amphibian and Reptile Biology,D1,F4,S40,273287
T12909,French Historical and Cultural Studies,D2,F12,S97,272885
T10259,Sociology and Education Studies,D2,F13,S105,270690
T14162,Historical and Literary Studies,D2,F13,S106,270080
T10012,Genetic diversity and population structure,D3,F18,S159,269727
T11132,Psychoanalysis and Psychopathology Research,D2,F15,S130,267832
T13099,"Health, Medicine and Society",D4,F23,S224,267354
T11354,Evolution and Paleontology Studies,D1,F6,S54,266353
T14388,Medieval European History and Architecture,D2,F12,S101,265578
T14021,Medieval European Literature and History,D2,F12,S100,265045
T13800,Earthquake and Disaster Impact Studies,D2,F13,S113,264672
T12762,Crystallography and Radiation Phenomena,D1,F2,S20,264581
T13622,Historical and Environmental Studies,D2,F13,S105,264509
T11484,Adaptive optics and wavefront sensing,D1,F2,S19,263767
T13068,Ancient Mediterranean Archaeology and History,D2,F12,S101,259341
T13031,Civil and Structural Engineering Research,D1,F1,S6,258987
T10095,Cosmology and Gravitation Theories,D1,F2,S18,256411
T12373,Linguistic research and analysis,D2,F12,S100,255993
T10351,Liver Disease Diagnosis and Treatment,D4,F22,S193,254849
T10825,Plant Pathogens and Fungal Diseases,D3,F18,S160,252879
T10320,Neural Networks and Applications,D1,F3,S25,251551
T13398,Data Analysis with R,D1,F3,S25,250306
T10025,Black Holes and Theoretical Physics,D1,F2,S17,247540
T12039,Electron and X-Ray Spectroscopy Techniques,D1,F5,S48,246836
T14134,Medical and Biological Sciences,D4,F22,S194,246830
T12148,Brazilian Legal Issues,D2,F13,S110,246807
T11159,Manufacturing Process and Optimization,D1,F1,S7,246412
T13621,Ancient and Medieval Archaeology Studies,D2,F12,S101,244918
T11808,Superconducting Materials and Applications,D1,F1,S8,244362
T13856,Advanced Power Generation Technologies,D1,F1,S2,244220
T10794,Islamic Studies and History,D2,F13,S108,244047
T10255,Oceanographic and Atmospheric Processes,D1,F6,S57,243335
T12219,Canadian Identity and History,D2,F13,S105,241378
T12004,Advanced Frequency and Time Standards,D1,F2,S19,239601
T10038,Tuberculosis Research and Epidemiology,D4,F22,S195,239283
T13332,"Historical Studies on Reproduction, Gender, Health, and Societal Changes",D2,F12,S97,238306
T14339,Image Processing and 3D Reconstruction,D1,F3,S28,237556
T13064,Dutch Social and Cultural Studies,D2,F13,S107,237002
T10021,EFL/ESL Teaching and Learning,D2,F12,S100,236999
T12771,Plant pathogens and resistance mechanisms,D3,F17,S146,236776
T10128,Global trade and economics,D2,F11,S90,236709
T10026,"Galaxies: Formation, Evolution, Phenomena",D1,F2,S18,235438
T10224,Quantum Chromodynamics and Particle Interactions,D1,F2,S17,233982
T13379,"Multiculturalism, Politics, Migration, Gender",D2,F13,S108,233789
T13394,"Ecology, Conservation, and Geographical Studies",D1,F4,S41,233337
T13184,Research in Social Sciences,D2,F13,S107,232009
T13053,SMEs Development and Digital Marketing,D2,F13,S114,231178
T14495,Public Health and Nutrition,D4,F22,S188,230893
T14102,Corporate Governance and Law,D2,F16,S137,230479
T13807,Cultural Insights and Digital Impacts,D1,F3,S29,230118
T13418,Photocathodes and Microchannel Plates,D1,F1,S8,229891
T10605,Historical Economic and Social Studies,D2,F11,S89,229427
T14156,Engineering Applied Research,D1,F1,S6,228705
T10683,Mass Spectrometry Techniques and Applications,D1,F7,S64,228586
T10765,Marine Biology and Ecology Research,D1,F6,S57,228356
T13656,"Science, Research, and Medicine",D4,F22,S189,227926
T14449,Education and Character Development,D2,F13,S107,227813
T10153,"Education, sociology, and vocational training",D2,F13,S105,227280
T10093,Nuclear physics research studies,D1,F2,S17,226628
T10077,Neuroscience and Neuropharmacology Research,D3,F19,S171,226091
T11463,Classical Philosophy and Thought,D2,F12,S92,225584
T10910,Corporate Governance and Management,D2,F16,S137,225399
T11930,"Cardiac, Anesthesia and Surgical Outcomes",D4,F22,S196,224939
T10166,Mosquito-borne diseases and control,D4,F22,S192,223897
T13255,"Business, Innovation, and Economy",D2,F11,S89,223829
T10815,Parasite Biology and Host Interactions,D1,F4,S42,223783
T10192,Catalytic Processes in Materials Science,D1,F5,S46,223499
T12624,Maritime and Coastal Archaeology,D2,F12,S101,222050
T13444,Medical Research and Treatments,D4,F22,S197,221524
T12959,Engineering and Materials Science Studies,D1,F1,S5,221034
T12267,Diet and metabolism studies,D4,F22,S166,219859
T11594,Tree-ring climate responses,D1,F6,S55,218415
T13022,Health and Medical Studies,D4,F23,S224,217559
T14109,Scottish History and National Identity,D2,F12,S97,217522
T12532,Historical and Cultural Archaeology Studies,D2,F13,S106,217112
T13607,Academic Publishing and Open Access,D2,F14,S126,216139
T12076,Renaissance and Early Modern Studies,D2,F12,S97,216113
T10787,Lightning and Electromagnetic Phenomena,D1,F2,S18,215934
T11546,Plant Physiology and Cultivation Studies,D3,F17,S146,215139
T12119,Linguistics and Discourse Analysis,D2,F12,S92,214970
T12752,Global Peace and Security Dynamics,D2,F13,S108,214743
T11949,Nuclear Physics and Applications,D1,F2,S22,214618
T12337,Italian Fascism and Post-war Society,D2,F13,S105,213026
T10159,Ionosphere and magnetosphere dynamics,D1,F2,S18,212239
T11563,Indian and Buddhist Studies,D2,F12,S96,211853
T12115,Genetic and Environmental Crop Studies,D3,F17,S146,211228
T10299,Photonic and Optical Devices,D1,F1,S2,210838
T11757,Seismic Waves and Analysis,D1,F6,S56,210836
T13593,Historical and Archaeological Studies,D2,F12,S97,210661
T11421,Labor Movements and Unions,D2,F13,S115,209169
T11852,Clay minerals and soil interactions,D1,F5,S47,208748
T14293,Biotechnology and Related Fields,D4,F22,S192,207368
T12266,Byzantine Studies and History,D2,F12,S98,206690
T10002,Advanced Chemical Physics Studies,D1,F2,S19,206289
T10857,Advanced Electron Microscopy Techniques and Applications,D3,F18,S161,206259
T10522,Medical Imaging Techniques and Applications,D4,F22,S198,204067
T10595,Medieval Literature and History,D2,F12,S98,203647
T12289,Library Science and Administration,D2,F13,S116,203003
T10271,Seismic Imaging and Inversion Techniques,D1,F6,S56,202962
T11365,Islamic Finance and Banking Studies,D2,F16,S138,202921
T14468,Plant Ecology and Soil Science,D1,F4,S42,202688
T14191,Historical Art and Architecture Studies,D2,F12,S102,202110
T10236,Aquatic Ecosystems and Phytoplankton Dynamics,D1,F4,S39,201891
T13568,Wood and Agarwood Research,D1,F7,S63,201537
T13028,Literature and Culture Studies,D2,F12,S93,201359
T10758,Cinema and Media Studies,D2,F11,S89,201116
T12319,Fish Biology and Ecology Studies,D3,F17,S149,201019
T11016,Monoclonal and Polyclonal Antibodies Research,D4,F22,S198,200910
T10054,Parallel Computing and Optimization Techniques,D1,F3,S30,200378
T10302,Fish Ecology and Management Studies,D1,F4,S41,200373
T14149,Historical and Literary Analyses,D2,F12,S93,199748
T10230,Marine and fisheries research,D1,F4,S40,198575
T10110,earthquake and tectonic studies,D1,F6,S56,198453
T13996,Diverse Musicological Studies,D2,F12,S94,198207
T11742,Economic Theory and Policy,D2,F11,S90,196824
T14249,Water Quality Monitoring and Analysis,D1,F4,S7,196509
T10715,Distributed and Parallel Computing Systems,D1,F3,S29,196219
T10018,Advancements in Battery Materials,D1,F1,S2,196132
T11050,Photorefractive and Nonlinear Optics,D1,F2,S19,196093
T10152,Animal Nutrition and Physiology,D3,F17,S150,196085
T11027,Metabolism and Genetic Disorders,D3,F18,S162,196069
T10089,Avian ecology and behavior,D1,F4,S42,195122
T11715,Education and Critical Thinking Development,D2,F13,S107,195094
T12430,Academic and Historical Perspectives in Psychology,D2,F15,S131,195085
T11290,Preterm Birth and Chorioamnionitis,D4,F22,S193,195010
T14186,Healthcare Systems and Practices,D4,F23,S224,194541
T14451,Historical and Religious Studies of Rome,D2,F12,S97,192659
T12977,Spanish Literature and Culture Studies,D2,F12,S93,192116
T10472,Semiconductor materials and devices,D1,F1,S2,191342
T10182,Child and Adolescent Psychosocial and Emotional Development,D2,F15,S130,191297
T14379,Diverse Cultural and Historical Studies,D2,F13,S112,191059
T10457,Education Pedagogy and Practices,D2,F13,S107,190812
T10527,High-Energy Particle Collisions Research,D1,F2,S17,190314
T11891,Big Data and Business Intelligence,D2,F16,S139,190072
T11387,Ichthyology and Marine Biology,D1,F4,S41,189214
T10019,Corporate Finance and Governance,D2,F16,S138,188738
T12641,Historical and socio-economic studies of Spain and related regions,D2,F11,S89,188003
T10572,Geophysical and Geoelectrical Methods,D1,F6,S56,187752
T12804,Thermal Analysis in Power Transmission,D1,F1,S9,187606
T11168,International Development and Aid,D2,F13,S117,187496
T12575,Medical History and Research,D2,F12,S97,187305
T10162,Online and Blended Learning,D2,F13,S107,187074
T11228,Bat Biology and Ecology Studies,D3,F17,S148,186581
T10399,Hydrocarbon exploration and reservoir analysis,D1,F1,S10,186262
T12925,Educational and Social Studies,D2,F13,S107,186207
T10406,Planetary Science and Exploration,D1,F2,S18,186045
T12773,Water Quality and Resources Studies,D1,F4,S43,185911
T10503,Global Financial Crisis and Policies,D2,F11,S91,185767
T11796,Horticultural and Viticultural Research,D3,F17,S146,185711
T10360,Fluid Dynamics and Turbulent Flows,D1,F1,S3,185701
T14518,American Sports and Literature,D2,F12,S97,185648
T11203,Jewish and Middle Eastern Studies,D2,F13,S105,185300
T10759,Translation Studies and Practices,D2,F12,S100,185137
T12648,Academic Writing and Publishing,D2,F12,S99,183788
T11410,Cultural Industries and Urban Development,D2,F13,S111,183727
T12764,Polish Historical and Cultural Studies,D2,F13,S108,183363
T14313,Health and Well-being Studies,D2,F15,S130,182563
T13129,Material Properties and Applications,D1,F5,S49,182092
T11289,Single-cell and spatial transcriptomics,D3,F18,S158,181931
T13484,German History and Society,D2,F12,S97,181744
T10051,Asthma and respiratory diseases,D4,F22,S166,181349
T13939,Archaeology and Natural History,D2,F13,S106,180578
T12639,Global Energy and Sustainability Research,D1,F9,S78,180540
T12525,Australian History and Society,D2,F13,S105,180499
T13734,Advanced Computational Techniques and Applications,D1,F3,S25,180021
T10133,Media Studies and Communication,D2,F13,S118,179000
T10804,"Health Systems, Economic Evaluations, Quality of Life",D2,F11,S89,178974
T13922,Historical Art and Culture Studies,D2,F12,S95,178879
T10413,High-pressure geophysics and materials,D1,F6,S56,178624
T13706,Management and Optimization Techniques,D2,F16,S137,178322
T10091,Malaria Research and Control,D4,F22,S192,178235
T13883,Child and Adolescent Health,D4,F23,S224,177563
T10240,Plant tissue culture and regeneration,D3,F18,S158,177139
T10172,Cardiac Valve Diseases and Treatments,D4,F22,S196,176438
T11472,Analytical Chemistry and Sensors,D1,F10,S83,176109
T10669,Freshwater macroinvertebrate diversity and ecology,D1,F4,S42,176027
T14059,"Nietzsche, Schopenhauer, and Hegel",D2,F12,S92,175952
T11162,Enzyme Structure and Function,D1,F5,S46,175856
T13124,Chemical synthesis and alkaloids,D1,F7,S63,175233
T10087,Archaeology and ancient environmental studies,D1,F6,S54,174862
T12854,Neurology and Historical Studies,D3,F19,S172,173895
T12097,Aquatic Invertebrate Ecology and Behavior,D1,F4,S42,173882
T10157,Sports Performance and Training,D4,F22,S199,173878
T14395,African history and culture studies,D2,F13,S106,173146
T14039,Ecology and biodiversity studies,D1,F4,S42,172822
T12327,Various Chemistry Research Topics,D1,F7,S62,172709
T10055,Diverse Aspects of Tourism Research,D2,F13,S105,172212
T10594,Genetic and phenotypic traits in livestock,D3,F18,S159,172171
T10211,Computational Drug Discovery Methods,D1,F3,S31,171999
T10215,Semantic Web and Ontologies,D1,F3,S25,171813
T10075,Atmospheric chemistry and aerosols,D1,F6,S55,171585
T13749,"Hungarian Social, Economic and Educational Studies",D2,F13,S119,171150
T12495,Electrostatic Discharge in Electronics,D1,F1,S2,171104
T10511,High voltage insulation and dielectric phenomena,D1,F5,S46,170803
T10209,Global Maternal and Child Health,D4,F22,S188,170794
T10143,Chronic Obstructive Pulmonary Disease (COPD) Research,D4,F22,S200,170285
T10630,Orthopedic Surgery and Rehabilitation,D4,F22,S190,170181
T12165,Environmental Sustainability and Education,D1,F4,S37,169586
T10214,Psychotherapy Techniques and Applications,D2,F15,S130,169452
T13154,Legal and Regulatory Analysis,D2,F13,S113,169354
T11746,Inorganic and Organometallic Chemistry,D1,F7,S63,169268
T11613,Phytochemistry and Biological Activities,D3,F17,S146,169219
T11770,Fiscal Policy and Economic Growth,D2,F11,S89,169089
T10109,Paleontology and Stratigraphy of Fossils,D1,F6,S54,169050
T10702,Insect and Arachnid Ecology and Behavior,D3,F18,S159,169005
T13178,Theology and Canon Law Studies,D2,F12,S96,168830
T12341,Spanish Linguistics and Language Studies,D2,F12,S100,168613
T10135,Insect-Plant Interactions and Control,D3,F17,S147,168379
T10523,Atomic and Molecular Physics,D1,F2,S19,168361
T10127,"Banking stability, regulation, efficiency",D2,F11,S91,168211
T13456,"Religion, Society, and Development",D2,F13,S105,167900
T13760,"Finance, Taxation, and Governance",D1,F4,S37,167754
T10022,Semiconductor Quantum Structures and Devices,D1,F2,S19,167647
T10749,International Law and Human Rights,D2,F13,S108,167554
T11836,Bryophyte Studies and Records,D3,F17,S148,167514
T10028,Topic Modeling,D1,F3,S25,167181
T11590,Primary Care and Health Outcomes,D4,F23,S224,166958
T14180,"Law, logistics, and international trade",D2,F16,S138,166907
T11791,Microbial Community Ecology and Physiology,D1,F4,S42,166802
T13802,Vietnamese History and Culture Studies,D2,F13,S105,166795
T10199,Wildlife Ecology and Conservation,D1,F4,S42,166040
T11879,Protist diversity and phylogeny,D3,F18,S158,165745
T13523,"Mathematics, Computing, and Information Processing",D1,F3,S31,165672
T13180,Chemistry and Chemical Engineering,D1,F4,S39,165482
T10521,RNA and protein synthesis mechanisms,D3,F18,S158,165304
T10330,Hydrology and Watershed Management Studies,D1,F4,S43,164751
T10058,Entrepreneurship Studies and Influences,D2,F16,S140,164748
T13376,Criminal Law and Policy,D2,F13,S105,164602
T10429,EEG and Brain-Computer Interfaces,D3,F19,S173,164039
T11197,Digital Games and Media,D2,F13,S105,163986
T10268,Developmental Biology and Gene Regulation,D3,F18,S158,163070
T13823,Religious and Theological Studies,D2,F13,S105,162832
T10285,Venous Thromboembolism Diagnosis and Management,D4,F22,S201,162653
T14430,Higher Education and Teaching Methods,D1,F3,S26,162582
T10372,Cardiac Imaging and Diagnostics,D4,F22,S198,161459
T11004,Crustacean biology and ecology,D1,F4,S42,161287
T10477,Astrophysics and Star Formation Studies,D1,F2,S18,161085
T13215,Global Maritime and Colonial Histories,D2,F13,S106,160941
T10094,Epilepsy research and treatment,D4,F22,S202,160826
T10301,Mitochondrial Function and Pathology,D3,F18,S158,160633
T11434,Electrochemical Analysis and Applications,D1,F7,S65,160253
T10029,Climate variability and models,D1,F4,S40,160156
T14008,Balkan and Eastern European Studies,D2,F11,S89,160111
T10303,Photosynthetic Processes and Mechanisms,D3,F18,S158,160021
T12753,"Psychology, Coaching, and Therapy",D2,F15,S132,159001
T13623,Linguistic Studies and Language Acquisition,D1,F3,S25,158825
T10609,Digital Marketing and Social Media,D2,F13,S105,158663
T12885,Digital Innovation in Industries,D2,F16,S140,158492
T12323,Asian American and Pacific Histories,D2,F13,S112,158035
T11710,Biomedical Text Mining and Ontologies,D3,F18,S158,157971
T13735,History of Medical Practice,D4,F22,S172,157931
T10596,Child Nutrition and Water Access,D4,F24,S235,157879
T10078,Advanced Photocatalysis Techniques,D1,F9,S78,157811
T10177,Palliative Care and End-of-Life Issues,D4,F22,S192,157485
T13923,Nuclear and radioactivity studies,D1,F1,S11,157467
T10254,Innovations in Medical Education,D4,F22,S192,157409
T13597,Medicine and Dermatology Studies History,D4,F22,S203,157379
T11277,Thermal properties of materials,D1,F5,S46,157237
T10443,Social Policy and Reform Studies,D2,F13,S108,157209
T10190,Air Quality and Health Impacts,D1,F4,S44,157040
T12555,Ancient Egypt and Archaeology,D2,F12,S101,156941
T14005,Eastern European Communism and Reforms,D2,F13,S105,156647
T12504,Mathematics and Applications,D1,F8,S69,156548
T10340,Hepatitis B Virus Studies,D4,F22,S193,156271
T10069,Antenna Design and Analysis,D1,F1,S1,156173
T11349,Music Technology and Sound Studies,D1,F3,S28,156090
T10425,Cold Atom Physics and Bose-Einstein Condensates,D1,F2,S19,156031
T11006,BIM and Construction Integration,D1,F1,S12,155484
T11743,Political Economy and Marxism,D2,F13,S105,155407
T11020,Immune Cell Function and Interaction,D3,F20,S179,155269
T10129,Glioma Diagnosis and Treatment,D4,F22,S159,155266
T14491,Diverse academic and cultural studies,D2,F11,S89,155195
T12982,Legal principles and applications,D2,F13,S110,155183
T10032,Marine and coastal ecosystems,D1,F6,S57,154992
T10276,Helicobacter pylori-related gastroenterology studies,D4,F22,S190,154936
T10622,Quantum Mechanics and Applications,D1,F2,S19,154899
T13212,German Social Sciences and History,D2,F13,S105,154803
T10431,Ethnobotanical and Medicinal Plants Studies,D3,F17,S146,154499
T14081,Linguistic Education and Pedagogy,D2,F12,S100,154474
T13168,Plant Ecology and Taxonomy Studies,D3,F17,S148,154467
T10030,Electrocatalysts for Energy Conversion,D1,F9,S78,154458
T10809,Occupational Health and Safety Research,D4,F23,S225,154449
T10082,HIV/AIDS Research and Interventions,D4,F22,S195,154350
T10364,Reproductive Biology and Fertility,D4,F22,S192,154084
T10189,Anesthesia and Pain Management,D4,F22,S190,154030
T11588,Atmospheric and Environmental Gas Dynamics,D1,F4,S40,153989
T11752,Cancer Treatment and Pharmacology,D4,F22,S204,153987
T13754,Central European and Russian historical studies,D2,F13,S108,153901
T12444,"Art, Politics, and Modernism",D2,F12,S103,153895
T10238,Spine and Intervertebral Disc Pathology,D4,F22,S205,153748
T10047,Financial Markets and Investment Strategies,D2,F11,S91,153601
T10066,Gut microbiota and health,D3,F18,S158,153601
T10146,Cervical Cancer and HPV Research,D4,F22,S193,153418
T10217,Cardiac electrophysiology and arrhythmias,D4,F22,S196,153383
T14210,Historical and Linguistic Studies,D2,F13,S105,153371
T10818,Astrophysics and Cosmic Phenomena,D1,F2,S17,153359
T12353,Lexicography and Language Studies,D2,F12,S100,153107
T11499,ICT Impact and Policies,D1,F1,S13,153054
T10106,Autism Spectrum Disorder Research,D3,F19,S173,152782
T10020,Quantum Information and Cryptography,D1,F3,S25,152760
T10432,DNA and Nucleic Acid Chemistry,D3,F18,S158,152677
T10250,Glaucoma and retinal disorders,D4,F22,S206,152524
T12505,Peptidase Inhibition and Analysis,D4,F22,S204,152458
T10141,Probiotics and Fermented Foods,D3,F17,S151,152315
T13193,Geological Studies and Exploration,D1,F6,S58,152131
T14030,Taxation and Legal Issues,D2,F16,S138,152003
T10965,Geological formations and processes,D1,F6,S59,151824
T12359,Fern and Epiphyte Biology,D3,F17,S148,151463
T10549,Neonatal Respiratory Health Research,D4,F22,S200,150544
T10602,Glycosylation and Glycoproteins Research,D3,F18,S158,150538
T13636,Pentecostalism and Christianity Studies,D2,F12,S96,150499
T10333,Meat and Animal Product Quality,D3,F17,S150,150299
T10084,Musculoskeletal pain and rehabilitation,D4,F22,S185,150275
T10009,Dementia and Cognitive Impairment Research,D4,F22,S202,150094
T10007,Monetary Policy and Economic Impact,D2,F11,S90,150043
T10535,Landslides and related hazards,D1,F4,S37,149674
T11429,Semiconductor Lasers and Optical Devices,D1,F1,S2,149573
T10065,Atrial Fibrillation Management and Outcomes,D4,F22,S196,149465
T12998,Education and Islamic Studies,D2,F13,S107,149416
T12669,Comparative International Legal Studies,D2,F13,S108,149233
T10911,Chemical Synthesis and Analysis,D3,F18,S158,149184
T10322,Respiratory Support and Mechanisms,D4,F22,S200,148949
T13070,Cultural Identity and Heritage,D2,F12,S101,148699
T14441,"Religion, Theology, History, Judaism, Christianity",D2,F13,S108,148633
T12487,Structural Engineering and Vibration Analysis,D1,F1,S6,147975
T11876,Legal Studies and Policies,D2,F13,S110,147828
T12927,"Memory, History, Trauma, Identity",D2,F12,S92,147726
T12573,Education and Digital Technologies,D2,F13,S105,147724
T12502,Urbanization and City Planning,D2,F13,S111,147474
T12471,History of Science and Natural History,D2,F12,S99,147414
T12137,Economic theories and models,D2,F11,S89,147359
T13695,"Aging, Elder Care, and Social Issues",D4,F23,S224,147295
T13175,Historical Astronomy and Related Studies,D1,F2,S18,147078
T10231,Pancreatic and Hepatic Oncology Research,D4,F22,S204,146915
T10207,Advanced biosensing and bioanalysis techniques,D3,F18,S158,146784
T10378,Advanced MRI Techniques and Applications,D4,F22,S198,146756
T10644,Cryospheric studies and observations,D1,F6,S55,146721
T10171,Biofuel production and bioconversion,D1,F1,S8,146396
T13466,Comparative Literary Analysis and Criticism,D2,F12,S93,146355
T10280,Shoulder Injury and Treatment,D4,F22,S190,146278
T11657,Digital and Traditional Archives Management,D2,F12,S102,146106
T11091,Extraction and Separation Processes,D1,F1,S5,146100
T10062,MicroRNA in disease regulation,D3,F18,S163,145852
T11753,Forest Management and Policy,D1,F4,S40,145814
T12912,"Shakespeare, Adaptation, and Literary Criticism",D2,F12,S93,145584
T10270,Blockchain Technology Applications and Security,D1,F3,S26,145488
